Id;Year;Country;Cash;Liquid_Assets;Gross_Loans;Total_Assets;Total_Deposits;Total_Liabilities;Total_Equity;Net_Interest_Income;NPL_s_Gross_Loans;Loan_Loss_Provisions_s_Gross_Loans;Net_Interest_Revenue_s_Total_Assets;ROAE;ROAA;Liquid_Assets_s_Total_Assets;Total_Equity_s_Total_Assets;NonInt_Ex_s_Avg_Assets;Total_Cap_Ratio;Rating_num;Rating
Id_114;2019;ARGENTINA;1.546,81;1.887,78;2.181,28;5.177,91;3.548,52;4.285,21;892,70;746,30;2,30;1,85;18,07;35,49;4,83;36,46;17,24;17,69;17,24;18;CCC
Id_115;2019;ARGENTINA;2.392,84;3.581,72;2.609,02;6.846,99;5.036,61;6.118,22;728,76;601,54;7,22;7,50;11,34;45,84;3,95;52,31;10,64;14,53;10,64;18;CCC
Id_003;2019;ARGENTINA;420,81;766,05;992,71;2.047,26;728,99;1.763,25;284,01;55,96;12,38;9,03;3,23;-31,73;-4,06;37,42;13,87;25,08;13,87;19;CCC-
Id_004;2019;ARGENTINA;3.558,00;1.524,97;4.586,72;10.282,90;6.766,77;8.555,66;1.727,23;1.514,22;3,66;7,75;18,68;33,56;4,55;14,83;16,80;17,78;17,82;18;CCC
Id_005;2019;ARGENTINA;1.448,43;919,45;2.686,25;5.717,33;3.009,59;5.024,30;693,02;800,00;4,45;4,33;18,27;18,59;1,94;16,08;12,12;13,58;14,98;18;CCC
Id_006;2019;ARGENTINA;588,21;577,25;2.132,00;3.255,86;1.979,74;2.824,26;431,60;215,38;7,48;9,45;7,76;-21,55;-2,26;17,73;13,26;22,99;11,59;19;CCC-
Id_007;2019;BOLIVIA;707,19;707,19;2.661,19;4.255,50;3.705,96;3.923,72;331,78;196,03;2,11;2,28;4,55;12,29;0,91;16,62;7,80;4,49;7,80;13;BB-
Id_008;2019;BOLIVIA;492,81;498,89;3.705,73;5.386,06;4.812,36;5.077,90;308,16;197,05;2,72;0,45;3,73;10,96;0,60;9,26;5,72;2,79;11,90;13;BB-
Id_009;2019;BOLIVIA;502,55;510,27;2.765,05;4.061,81;3.173,40;3.787,53;274,28;142,78;1,48;0,21;3,62;14,22;0,94;12,56;6,75;1,93;12,85;13;BB-
Id_010;2019;BOLIVIA;355,31;412,14;2.282,66;3.146,67;2.818,10;2.928,13;218,54;124,82;1,75;0,70;4,10;13,51;0,93;13,10;6,95;2,67;11,24;14;B+
Id_011;2019;BOLIVIA;104,70;104,70;1.990,65;2.670,87;2.242,58;2.506,83;164,04;84,01;0,44;6,05;3,39;1,81;0,12;3,92;6,14;3,46;6,14;15;B
Id_012;2019;BRAZIL;89,18;6.500,33;13.815,04;24.034,64;4.058,39;21.581,62;2.453,02;1.508,08;11,87;4,54;6,11;14,00;1,41;27,05;10,21;3,41;15,10;12;BB
Id_116;2019;BRAZIL;0,05;37,32;309,67;355,35;124,51;283,91;71,44;46,35;7,07;5,81;14,86;21,62;4,51;10,50;20,10;15,00;20,10;12;BB
Id_013;2019;BRAZIL;5,16;229,70;225,73;550,15;350,95;496,09;54,07;8,37;7,22;0,73;1,82;-0,22;-0,03;41,75;9,83;2,37;14,82;12;BB
Id_014;2019;BRAZIL;34,79;264,68;2.729,81;4.223,52;2.896,26;3.751,97;471,55;492,12;5,16;0,36;12,30;26,85;2,81;6,27;11,16;10,19;16,30;14;B+
Id_015;2019;BRAZIL;65,31;233,20;2.842,26;4.692,34;2.548,75;3.692,79;999,55;577,85;6,47;4,63;12,99;12,44;2,09;4,97;21,30;6,59;22,53;14;B+
Id_016;2019;BRAZIL;1,04;479,05;5.862,91;8.138,28;4.903,10;6.915,93;1.222,35;1.420,68;9,38;6,02;19,08;11,60;1,72;5,89;15,02;10,28;12,78;14;B+
Id_017;2019;BRAZIL;23,23;549,12;748,77;1.479,89;1.106,82;1.362,45;117,44;113,52;6,77;2,68;8,00;21,93;1,66;37,11;7,94;9,39;13,30;12;BB
Id_018;2019;BRAZIL;288,13;3.121,93;8.978,11;20.235,13;13.309,89;18.301,08;1.934,05;1.235,68;11,26;1,85;6,26;17,84;1,69;15,43;9,56;5,57;15,07;13;BB-
Id_019;2019;BRAZIL;62,88;3.147,22;1.052,48;5.887,05;2.892,24;5.487,95;399,10;208,75;11,07;2,40;3,26;13,84;0,83;53,46;6,78;3,39;14,05;13;BB-
Id_020;2019;BRAZIL;0,17;350,34;922,01;1.432,82;494,38;1.129,65;303,17;138,41;4,31;-0,23;9,82;18,38;4,30;24,45;21,16;5,17;21,16;13;BB-
Id_021;2019;BRAZIL;1,66;15,36;442,22;475,62;385,10;410,51;65,11;29,73;1,51;0,45;6,23;11,62;1,73;3,23;13,69;4,31;13,69;12;BB
Id_022;2019;BRAZIL;2,26;55,76;1.117,76;1.523,88;34,66;1.072,06;451,83;61,56;17,96;-0,20;3,88;4,76;1,33;3,66;29,65;3,47;20,52;15;B
Id_023;2019;BRAZIL;6,95;27,74;267,69;310,64;245,28;254,21;56,43;17,44;7,96;-1,51;5,21;19,12;3,67;8,93;18,16;1,65;17,27;12;BB
Id_024;2019;BRAZIL;0,12;795,19;2.587,95;3.544,00;2.758,14;3.160,25;383,75;357,93;5,60;5,60;11,30;12,30;1,50;22,40;10,80;6,60;10,80;12;BB
